Sample_ID	Novogene_R
IPa06-C-TF	R1
IPa07-C-TF	R2
IPa08-C-TF	R3
IPa09-C-TF	R4
IPa10-C-TF	R5
IPa06-C-T0	R6
IPa07-C-T0	R7
IPa08-C-T0	R8
IPa09-C-T0	R9
IPa10-C-T0	R10
IPa06-C-T1	R11
IPa07-C-T1	R12
IPa08-C-T1	R13
IPa09-C-T1	R14
IPa10-C-T1	R15
IPa06-L-T1	R16
IPa07-L-T1	R17
IPa08-L-T1	R18
IPa09-L-T1	R19
IPa10-L-T1	R20
IPa06-M-T1	R21
IPa07-M-T1	R22
IPa08-M-T1	R23
IPa09-M-T1	R24
IPa10-M-T1	R25
IPa06-H-T1	R26
IPa07-H-T1	R27
IPa08-H-T1	R28
IPa09-H-T1	R29
IPa10-H-T1	R30
IPa06-C-T2	R31
IPa07-C-T2	R32
IPa08-C-T2	R33
IPa09-C-T2	R34
IPa10-C-T2	R35
IPa06-L-T2	R36
IPa07-L-T2	R37
IPa08-L-T2	R38
IPa09-L-T2	R39
IPa10-L-T2	R40
IPa06-M-T2	R41
IPa07-M-T2	R42
IPa08-M-T2	R43
IPa09-M-T2	R44
IPa10-M-T2	R45
IPa06-H-T2	R46
IPa07-H-T2	R47
IPa08-H-T2	R48
IPa09-H-T2	R49
IPa10-H-T2	R50
IPa06-C-T3	R51
IPa07-C-T3	R52
IPa08-C-T3	R53
IPa09-C-T3	R54
IPa10-C-T3	R55
IPa06-L-T3	R56
IPa07-L-T3	R57
IPa08-L-T3	R58
IPa09-L-T3	R59
IPa10-L-T3	R60
IPa06-M-T3	R61
IPa07-M-T3	R62
IPa08-M-T3	R63
IPa09-M-T3	R64
IPa10-M-T3	R65
IPa06-H-T3	R66
IPa07-H-T3	R67
IPa08-H-T3	R68
IPa09-H-T3	R69
IPa10-H-T3	R70
IPa06-C-T4	R71
IPa07-C-T4	R72
IPa08-C-T4	R73
IPa09-C-T4	R74
IPa10-C-T4	R75
IPa06-L-T4	R76
