"Plot Title: FL_Keys_Tank8"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20663203, SEN S/N: 20663203, LBL: FL_Keys_Tank8)","Coupler Detached (LGR S/N: 20663203)","Bad Battery (LGR S/N: 20663203)","End Of File (LGR S/N: 20663203)"
1,06/06/21 02:06:47 PM,35.009,,,
2,06/06/21 02:06:51 PM,,Logged,,
3,06/06/21 02:07:47 PM,35.009,,,
4,06/06/21 02:08:47 PM,35.115,,,
5,06/06/21 02:09:47 PM,35.009,,,
6,06/06/21 02:10:47 PM,34.796,,,
7,06/06/21 02:11:47 PM,34.268,,,
8,06/06/21 02:12:47 PM,33.743,,,
9,06/06/21 02:13:47 PM,32.807,,,
10,06/06/21 02:14:47 PM,32.291,,,
11,06/06/21 02:15:47 PM,31.983,,,
12,06/06/21 02:16:47 PM,31.778,,,
13,06/06/21 02:17:47 PM,31.778,,,
14,06/06/21 02:18:47 PM,31.676,,,
15,06/06/21 02:19:47 PM,31.676,,,
16,06/06/21 02:20:47 PM,31.676,,,
17,06/06/21 02:21:47 PM,31.676,,,
18,06/06/21 02:22:47 PM,31.676,,,
19,06/06/21 02:23:47 PM,31.778,,,
20,06/06/21 02:24:47 PM,31.778,,,
21,06/06/21 02:25:47 PM,31.880,,,
22,06/06/21 02:26:47 PM,31.983,,,
23,06/06/21 02:27:47 PM,31.983,,,
24,06/06/21 02:28:47 PM,32.086,,,
25,06/06/21 02:29:47 PM,32.188,,,
26,06/06/21 02:30:47 PM,32.188,,,
27,06/06/21 02:31:47 PM,32.291,,,
28,06/06/21 02:32:47 PM,32.291,,,
29,06/06/21 02:33:47 PM,32.394,,,
30,06/06/21 02:34:47 PM,32.497,,,
31,06/06/21 02:35:47 PM,32.497,,,
32,06/06/21 02:36:47 PM,32.497,,,
33,06/06/21 02:37:47 PM,32.600,,,
34,06/06/21 02:38:47 PM,32.600,,,
35,06/06/21 02:39:47 PM,32.704,,,
36,06/06/21 02:40:47 PM,32.807,,,
37,06/06/21 02:41:47 PM,32.807,,,
38,06/06/21 02:42:47 PM,32.807,,,
39,06/06/21 02:43:47 PM,32.911,,,
40,06/06/21 02:44:47 PM,33.014,,,
41,06/06/21 02:45:47 PM,33.014,,,
42,06/06/21 02:46:47 PM,33.118,,,
43,06/06/21 02:47:47 PM,33.118,,,
44,06/06/21 02:48:47 PM,33.222,,,
45,06/06/21 02:49:47 PM,33.222,,,
46,06/06/21 02:50:47 PM,33.326,,,
47,06/06/21 02:51:47 PM,33.326,,,
48,06/06/21 02:52:47 PM,33.430,,,
49,06/06/21 02:53:47 PM,33.535,,,
50,06/06/21 02:54:47 PM,33.639,,,
51,06/06/21 02:55:47 PM,33.639,,,
52,06/06/21 02:56:47 PM,33.639,,,
53,06/06/21 02:57:47 PM,33.743,,,
54,06/06/21 02:58:47 PM,33.743,,,
55,06/06/21 02:59:47 PM,33.848,,,
56,06/06/21 03:00:47 PM,33.953,,,
57,06/06/21 03:01:47 PM,33.953,,,
58,06/06/21 03:02:47 PM,33.953,,,
59,06/06/21 03:03:47 PM,34.058,,,
60,06/06/21 03:04:47 PM,34.163,,,
61,06/06/21 03:05:47 PM,34.163,,,
62,06/06/21 03:06:47 PM,34.268,,,
63,06/06/21 03:07:47 PM,34.268,,,
64,06/06/21 03:08:47 PM,34.268,,,
65,06/06/21 03:09:47 PM,34.374,,,
66,06/06/21 03:10:47 PM,34.479,,,
67,06/06/21 03:11:47 PM,34.585,,,
68,06/06/21 03:12:47 PM,34.585,,,
69,06/06/21 03:13:47 PM,34.691,,,
70,06/06/21 03:14:47 PM,34.796,,,
71,06/06/21 03:15:47 PM,34.796,,,
72,06/06/21 03:16:47 PM,34.903,,,
73,06/06/21 03:17:47 PM,34.903,,,
74,06/06/21 03:18:47 PM,34.903,,,
75,06/06/21 03:19:47 PM,35.009,,,
76,06/06/21 03:20:47 PM,35.115,,,
77,06/06/21 03:21:47 PM,35.115,,,
78,06/06/21 03:22:47 PM,35.115,,,
79,06/06/21 03:23:47 PM,35.222,,,
80,06/06/21 03:24:47 PM,35.222,,,
81,06/06/21 03:25:47 PM,35.328,,,
82,06/06/21 03:26:47 PM,35.435,,,
83,06/06/21 03:27:47 PM,35.435,,,
84,06/06/21 03:28:47 PM,35.542,,,
85,06/06/21 03:29:47 PM,35.542,,,
86,06/06/21 03:30:47 PM,35.649,,,
87,06/06/21 03:31:47 PM,35.756,,,
88,06/06/21 03:32:47 PM,35.756,,,
89,06/06/21 03:33:47 PM,35.864,,,
90,06/06/21 03:34:47 PM,35.864,,,
91,06/06/21 03:35:47 PM,35.971,,,
92,06/06/21 03:36:47 PM,35.971,,,
93,06/06/21 03:37:47 PM,35.971,,,
94,06/06/21 03:38:47 PM,36.079,,,
95,06/06/21 03:39:47 PM,36.187,,,
96,06/06/21 03:40:47 PM,36.187,,,
97,06/06/21 03:41:47 PM,36.295,,,
98,06/06/21 03:42:47 PM,36.295,,,
