SampleName	species	Tank	Temp	Geno	Timepoint	TFPAM	T0PAM	T1PAM	T2PAM	T3PAM
Ipa06-30-TF	Past	1	30	6	TF	0.64				
Ipa07-30-TF	Past	1	30	7	TF	0.592				
Ipa08-30-TF	Past	1	30	8	TF	0.65				
Ipa09-30-TF	Past	1	30	9	TF	0.652				
Ipa10-30-TF	Past	1	30	10	TF	0.584				
Ipa06-30-T0	Past	1	30	6	T0		0.602			
Ipa07-30-T0	Past	1	30	7	T0		0.517			
Ipa08-30-T0	Past	1	30	8	T0		0.559			
Ipa09-30-T0	Past	1	30	9	T0		0.544			
Ipa10-30-T0	Past	1	30	10	T0		0.633			
Ipa06-30-T1	Past	1	30	6	T1			0.516		
Ipa07-30-T1	Past	1	30	7	T1			0.53		
Ipa08-30-T1	Past	1	30	8	T1			0.469		
Ipa09-30-T1	Past	1	30	9	T1			0.529		
Ipa10-30-T1	Past	1	30	10	T1			0.546		
Ipa06-34-T1	Past	2	34	6	T1			0.595		
Ipa07-34-T1	Past	2	34	7	T1			0.482		
Ipa08-34-T1	Past	2	34	8	T1			0.43		
Ipa09-34-T1	Past	2	34	9	T1			0.525		
Ipa10-34-T1	Past	2	34	10	T1			0.516		
Ipa06-37-T1	Past	3	37	6	T1			0.208		
Ipa07-37-T1	Past	3	37	7	T1			0.398		
Ipa08-37-T1	Past	3	37	8	T1			0.463		
Ipa09-37-T1	Past	3	37	9	T1			0.381		
Ipa10-37-T1	Past	3	37	10	T1			0.367		
Ipa06-39-T1	Past	4	39	6	T1			0.131		
Ipa07-39-T1	Past	4	39	7	T1			0.204		
Ipa08-39-T1	Past	4	39	8	T1			0.212		
Ipa09-39-T1	Past	4	39	9	T1			0.163		
Ipa10-39-T1	Past	4	39	10	T1			0.133		
Ipa06-30-T2	Past	1	30	6	T2				0.519	
Ipa07-30-T2	Past	1	30	7	T2				0.526	
Ipa08-30-T2	Past	1	30	8	T2				0.518	
Ipa09-30-T2	Past	1	30	9	T2				0.561	
Ipa10-30-T2	Past	1	30	10	T2				0.524	
