SampleName	species	Tank	Temp	Geno	Timepoint	TFPAM	T0PAM	T1PAM	T2PAM	T3PAM	T4PAM	T5PAM	Start/EndTimes			Tank	Time on Spec	Record	PAR
OPa01-30-TF	Past	1	30	1	TF											1			
OPa02-30-TF	Past	1	30	2	TF											2			
OPa03-30-TF	Past	1	30	3	TF											3			
OPa04-30-TF	Past	1	30	4	TF											4			
OPa05-30-TF	Past	1	30	5	TF														
OPa01-30-T0	Past	1	30	1	T0		0.484												
OPa02-30-T0	Past	1	30	2	T0		0.472												
OPa03-30-T0	Past	1	30	3	T0		0.506												
OPa04-30-T0	Past	1	30	4	T0		0.504												
OPa05-30-T0	Past	1	30	5	T0		0.506												
OPa01-30-T1	Past	1	30	1	T1			0.421					17:04						
OPa02-30-T1	Past	1	30	2	T1			0.526											
OPa03-30-T1	Past	1	30	3	T1			0.462											
OPa04-30-T1	Past	1	30	4	T1			0.569											
OPa05-30-T1	Past	1	30	5	T1			0.541											
OPa01-34-T1	Past	2	34	1	T1			0.32					17:08						
OPa02-34-T1	Past	2	34	2	T1			0.517											
OPa03-34-T1	Past	2	34	3	T1			0.52											
OPa04-34-T1	Past	2	34	4	T1			0.436											
OPa05-34-T1	Past	2	34	5	T1			0.445											
OPa01-37-T1	Past	3	37	1	T1			0.269					17:11						
OPa02-37-T1	Past	3	37	2	T1			0.25											
OPa03-37-T1	Past	3	37	3	T1			0.197											
OPa04-37-T1	Past	3	37	4	T1			0.228											
OPa05-37-T1	Past	3	37	5	T1			0.292											
OPa01-39-T1	Past	4	39	1	T1			0.14					17:15						
OPa02-39-T1	Past	4	39	2	T1			0.159											
OPa03-39-T1	Past	4	39	3	T1			0.14											
OPa04-39-T1	Past	4	39	4	T1			0.149											
OPa05-39-T1	Past	4	39	5	T1			0.154					17:18						
OPa01-30-T2	Past	1	30	1	T2				0.523				20:02						
OPa02-30-T2	Past	1	30	2	T2				0.497										
OPa03-30-T2	Past	1	30	3	T2				0.487										
OPa04-30-T2	Past	1	30	4	T2				0.578										
OPa05-30-T2	Past	1	30	5	T2				0.513										
OPa01-34-T2	Past	2	34	1	T2				0.461										
OPa02-34-T2	Past	2	34	2	T2				0.538										
OPa03-34-T2	Past	2	34	3	T2				0.479										
OPa04-34-T2	Past	2	34	4	T2				0.511										
OPa05-34-T2	Past	2	34	5	T2				0.419										
OPa01-37-T2	Past	3	37	1	T2				0.151										
OPa02-37-T2	Past	3	37	2	T2				0.241										
OPa03-37-T2	Past	3	37	3	T2				0.137										
