baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	0.0460943371901018	1.64126003745365	0.028084725234409	0.977594576766072	0.996755145116377
GCKDGN101A00ZL_Past	6.00311397157902	5.29708557035624	2.23117673633267	2.37412190800399	0.0175907415799717	0.166935344243553
GCKDGN101A028J_Past	25.1147709864338	0.551219597435627	1.5424679171985	0.35736211514647	0.720820734476108	0.906827289695688
GCKDGN101A03QE_Past	3.52727809705851	1.93974607651938	2.35344463883781	0.824215723840979	0.409816994268113	0.742884907507874
GCKDGN101A03XE_Past	28.9323030991648	2.57090476353781	1.72487119193622	1.49049087001789	0.136095215305945	0.460198663764997
GCKDGN101A0607_Past	10.5796307588068	-0.864175670533811	2.80469347512246	-0.30811768851	0.757992782089655	0.923825920114704
GCKDGN101A06FB_Past	10.4644071494278	3.11675601053666	1.75370925800139	1.77723644687185	0.0755293451463197	0.348594660569634
GCKDGN101A0884_Past	30.3455961757646	2.53144711926932	1.64302651833781	1.54072200966683	0.123384457725983	0.440357440002193
GCKDGN101A08CL_Past	21.7359506924139	6.47378891159369	1.84884529196447	3.50153089592209	0.000462593331980553	0.0131699695719826
GCKDGN101A097A_Past	6.28101826556344	0.0959254933511971	2.49156341333839	0.0385001211840194	0.969288934866067	0.994422307805948
GCKDGN101A0KSC_Past	27.2720440179517	0.634504320015032	1.41383134503735	0.448783599431564	0.653587770858397	0.880105680159318
GCKDGN101A0LCS_Past	15.0782818046625	0.947512448853204	1.4478633647818	0.654421178061923	0.512840493847792	0.809921265734237
GCKDGN101A0M5U_Past	31.9501836469538	1.84623544249055	1.43213520469989	1.28914884323191	0.197346345820513	0.545667007569178
GCKDGN101A0M8H_Past	817.014815457995	1.83474249293344	1.55465291664029	1.18016212705434	0.237935738894803	0.592242242441027
GCKDGN101A0P88_Past	3.0476551055852	5.39947363911709	3.33722124488308	1.61795495201166	0.105672306258982	0.408345170234008
GCKDGN101A0RO1_Past	3.55824940848606	-0.796742218507561	2.76652085079666	-0.287994293727491	0.773351106659429	0.930003444308871
GCKDGN101A0S0M_Past	7.75137629198386	0.952704270878211	1.79853960418424	0.529709920572101	0.596313068596762	0.855836380810745
