baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	-2.40493599242101	1.63057551524614	-1.47490010118174	0.140239403140075	0.655247604486734
GCKDGN101A00ZL_Past	6.00311397157902	-2.5379847468634	2.15389194083723	-1.17832501192092	0.238667060095404	0.65666194189885
GCKDGN101A028J_Past	25.1147709864338	-0.849592013217942	1.53424658238702	-0.553751934644122	0.579748627112187	0.76598843753463
GCKDGN101A03QE_Past	3.52727809705851	-0.121396252113492	2.34809556047027	-0.0516998771928935	0.958767835096353	0.978208600508692
GCKDGN101A03XE_Past	28.9323030991648	-0.609898395170873	1.63825606480999	-0.372285144106341	0.70968055828388	0.835517100815803
GCKDGN101A0607_Past	10.5796307588068	0	3.05922210146739	0	1	1
GCKDGN101A06FB_Past	10.4644071494278	-0.423377504679437	1.70957854266782	-0.247650221450926	0.804405049701719	0.888893310436169
GCKDGN101A0884_Past	30.3455961757646	0.373170439397588	1.63287504628015	0.228535821064635	0.819229711646811	0.898369778072539
GCKDGN101A08CL_Past	21.7359506924139	-1.90058072713843	1.64988854502058	-1.1519449194762	0.249343708038355	0.658036754340262
GCKDGN101A097A_Past	6.28101826556344	-0.327638373427801	2.44802704996748	-0.133837725948393	0.893530894557482	0.940674342100767
GCKDGN101A0KSC_Past	27.2720440179517	-1.90377296548765	1.41108972376107	-1.34915089624025	0.177288503178381	0.655247604486734
GCKDGN101A0LCS_Past	15.0782818046625	-1.1749871379421	1.42760273022964	-0.823049096966277	0.410480074042438	0.699887424956631
GCKDGN101A0M5U_Past	31.9501836469538	-1.97041458863215	1.42587320066795	-1.38190028938697	0.167002319093565	0.655247604486734
GCKDGN101A0M8H_Past	817.014815457995	-0.638117664845423	1.53680024296536	-0.415224859422284	0.677977302035684	0.817891366366314
GCKDGN101A0P88_Past	3.0476551055852	-0.973009444562954	3.24219510488526	-0.300108233183391	0.764094599327815	0.865751580565642
GCKDGN101A0RO1_Past	3.55824940848606	-2.74698528986588	2.76190901669516	-0.994596589989365	0.31993250667926	0.67232111812093
GCKDGN101A0S0M_Past	7.75137629198386	-2.16293776501422	1.77200995256123	-1.22061265055986	0.222232714239504	0.65666194189885
GCKDGN101A0S2C_Past	18.7843166354363	-2.14362912793498	2.5113691842442	-0.853569893818741	0.393343345631549	0.694827336816843
GCKDGN101A0SI8_Past	21.5372318982891	1.44606904619399	2.38323597238707	0.606767044031144	0.54400552190621	0.751017047002334
GCKDGN101A0ZFB_Past	4.37845053254971	-2.60511216985963	2.19696656311068	-1.18577688600369	0.235710421838182	0.65666194189885
GCKDGN101A10D0_Past	7.0327411960674	-3.07055119679952	2.35446148457929	-1.30414161238581	0.192185303117954	0.655247604486734
GCKDGN101A12VJ_Past	63.4929056277215	-0.736408874308893	1.27424072749639	-0.577919743434804	0.563318305006889	0.759130558788101
GCKDGN101A13V9_Past	45.0755676218427	-0.97825585885071	1.19010915274236	-0.821988350057241	0.411083527355386	0.700039679529707
GCKDGN101A14KT_Past	3.34746644018435	-15.2852759999138	2.60551276902176	-5.86651356372075	4.4505387569167e-09	1.39205635226478e-06
GCKDGN101A14VE_Past	17.328190496606	-3.54311564125783	1.57285706156158	-2.25266219534286	0.0242804563259925	0.613532142053955
GCKDGN101A15QU_Past	3.29622347332627	-5.83760677371273	2.46880724086231	-2.36454538738057	0.0180522152150985	0.552495116581108
GCKDGN101A177T_Past	8.51464361601869	-0.799449765949552	1.87236343010042	-0.426973606244102	0.669398552034828	0.812516973557315
GCKDGN101A17ZT_Past	23.8903780290048	-1.66226646664989	1.3679939449873	-1.21511244456958	0.224323207835351	0.65666194189885
GCKDGN101A1Q78_Past	3.80966400544415	-16.8881306458465	10.8933536856454	-1.55031509424876	0.121065906178804	0.655247604486734
GCKDGN101A1T4S_Past	5.18139572919687	-1.32124790112778	2.23482143024136	-0.591209607733665	0.554379986054518	0.756267854994391
GCKDGN101A1TLT_Past	10.8559880904924	-1.18612191324764	1.83943962494824	-0.644827857984746	0.519038746702692	0.740578894783659
GCKDGN101A1V7Z_Past	6.92084926661199	-2.66824950057399	2.00774700565376	-1.32897695429767	0.183855573180371	0.655247604486734
GCKDGN101A20KS_Past	5.87890122596942	-1.3958204265912	1.77422680259935	-0.786720403809838	0.431445557165871	0.70769179123813
GCKDGN101A23YI_Past	20.830535637997	-1.53402041945622	1.63810934857397	-0.936457887131675	0.34903748553639	0.683487186040417
GCKDGN101A2BO2_Past	14.7913484935943	-1.43419427202472	2.40863797645257	-0.595437872376736	0.551550816306286	0.755440865981733
GCKDGN101A2BOP_Past	3.39190917524887	0.489691109785421	2.66482793852209	0.183760873528294	0.854201051767308	0.918017251437345
GCKDGN101A2FEY_Past	5.87316858695411	-1.1698574377394	1.9679693228188	-0.594449021219376	0.55221182936177	0.755530778871737
GCKDGN101A2K37_Past	10.9015573486738	-1.80047205866109	1.5880190792272	-1.13378490360284	0.256884784948585	0.65876083954179
GCKDGN101A2LIL_Past	3.81611693906338	0.258032816178668	2.28457203080188	0.112945800219789	0.910073525294579	0.949752550451703
GCKDGN101A2NZY_Past	6.85262506460422	-1.76091385714572	1.92595863294882	-0.914305129414745	0.360556536061561	0.687327855868796
GCKDGN101A2QVI_Past	21.4284957317886	-2.04934895134986	1.56329404254206	-1.31091713751908	0.189885760259979	0.655247604486734
GCKDGN101A2R04_Past	11.5389446201177	-1.23154305236253	1.6060540511747	-0.766812954683407	0.44319273292118	0.71141306327839
GCKDGN101A2TT4_Past	9.57727288803907	-1.1651014970244	1.96378946994324	-0.593292465845679	0.552985440036026	0.755706500270051
GCKDGN101A2V3C_Past	3.6976468013005	-7.10641473913157	2.9449717407795	-2.41306720900846	0.0158189022944629	0.526826348931852
GCKDGN101A2WY5_Past	27.5715981818955	0.224929912269035	1.52245237089171	0.147741838476886	0.882546511607377	0.935186182632809
GCKDGN101A33CU_Past	5.70386564278099	-4.89257339753407	2.20013537875172	-2.22376015802716	0.0261645853242526	0.622614462320931
GCKDGN101A33VX_Past	6.76205575433391	-5.24289416144287	2.10021492201221	-2.49636078026704	0.0125474911646896	0.503334888211275
GCKDGN101A35AI_Past	5.20244308265903	-1.31258934273863	1.79180453044906	-0.732551637432055	0.463831937334608	0.720276726127936
GCKDGN101A38VU_Past	43.4703576290158	-0.326504378043385	1.25335499094303	-0.260504310752154	0.794474790575386	0.883570806748608
GCKDGN101A39U8_Past	4.49942962482592	-1.11453794002016	2.22256455729625	-0.501464821960444	0.616044029397999	0.78372650377445
GCKDGN101A3AVK_Past	30.7145662981956	0.00755105089389486	1.33681997179772	0.00564851741685187	0.995493159127369	0.99890009429626
GCKDGN101A3EUL_Past	13.3384782879444	-0.490673385567611	1.78500401809672	-0.274886431959295	0.783403491477467	0.877593968050777
GCKDGN101A3FW4_Past	20.0382788756008	-0.900250075367802	1.47265877740889	-0.611309346861581	0.540994804294289	0.749306400495806
GCKDGN101A3GMY_Past	3.15047249243418	-0.999869355887818	3.25989215227679	-0.306718538277251	0.759057617987761	0.862501110748391
GCKDGN101A3LA5_Past	36.264723314004	-0.994827362825365	1.45936081196394	-0.681687047281043	0.495436859494471	0.731465399383537
GCKDGN101A3N2H_Past	8.70516159965528	-2.71748798721128	1.88728579301073	-1.43989214419728	0.149897915994566	0.655247604486734
GCKDGN101A3QHI_Past	5.23928853109307	-2.12231350748473	2.44021359047596	-0.869724484679548	0.384450988306012	0.692584333254812
