baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	3.69777668493152	1.85818970277281	1.98998879361653	0.0465921699847904	0.148154239690839
GCKDGN101A00ZL_Past	6.00311397157902	7.08083010789209	2.48420965757604	2.85033515037583	0.00436731828870185	0.0396800063572367
GCKDGN101A028J_Past	25.1147709864338	2.71130411714369	1.66131758975653	1.63202035171435	0.102675198941017	0.229769054721036
GCKDGN101A03QE_Past	3.52727809705851	2.31204991725469	2.58482541750852	0.894470435640968	0.371070241091999	0.51001091211918
GCKDGN101A03XE_Past	28.9323030991648	4.06060231384769	1.98310082617077	2.04760255265913	0.0405989590311121	0.138540666692245
GCKDGN101A0607_Past	10.5796307588068	0	3.24482751906967	0	1	1
GCKDGN101A06FB_Past	10.4644071494278	4.22054868975639	2.01965264370573	2.08973988814848	0.0366411717845881	0.131516728151602
GCKDGN101A0884_Past	30.3455961757646	2.25526925118433	1.74322916782349	1.29373079157466	0.195758425571461	0.338612394388376
GCKDGN101A08CL_Past	21.7359506924139	4.60587909343527	1.88028009550435	2.44957073387506	0.0143026614374302	0.0779196360979155
GCKDGN101A097A_Past	6.28101826556344	5.74924181383852	2.79272973726705	2.05864596817904	0.0395281657677618	0.136598667659854
GCKDGN101A0KSC_Past	27.2720440179517	1.50232056983484	1.52296224905658	0.986446361861873	0.323914124068531	0.466824673600417
GCKDGN101A0LCS_Past	15.0782818046625	3.08664845700887	1.57434264316402	1.96059509053601	0.0499262755428692	0.153932496050075
GCKDGN101A0M5U_Past	31.9501836469538	3.76827557258085	1.56702315140586	2.40473509864875	0.0161841925299444	0.0836711693985465
GCKDGN101A0M8H_Past	817.014815457995	4.2233757607201	1.72217694342727	2.45234717421965	0.0141927653463249	0.0774883334857324
GCKDGN101A0P88_Past	3.0476551055852	3.99135958819852	3.56022876097555	1.12109638345398	0.262246837943177	0.406804335585971
GCKDGN101A0RO1_Past	3.55824940848606	4.48429683875708	3.08127695226295	1.45533715671476	0.145575944833477	0.282779154736442
GCKDGN101A0S0M_Past	7.75137629198386	22.460248872517	2.13566970249305	10.5167240263315	7.23453811189996e-26	1.67545996926206e-23
GCKDGN101A0S2C_Past	18.7843166354363	1.89778420401652	2.68053662984898	0.707986670610595	0.478953535076628	0.606738637647866
GCKDGN101A0SI8_Past	21.5372318982891	3.21192583858548	2.54885311873363	1.26014551995107	0.207616871849432	0.350548469237815
GCKDGN101A0ZFB_Past	4.37845053254971	2.42637666968895	2.41255571442768	1.00572876107217	0.31454606405051	0.458211647605287
GCKDGN101A10D0_Past	7.0327411960674	1.70432106277907	2.54093105180536	0.670746678296574	0.502381921070129	0.626211559787327
GCKDGN101A12VJ_Past	63.4929056277215	1.25759135859524	1.35907212408904	0.925330846174317	0.354793838258101	0.495547950671436
GCKDGN101A13V9_Past	45.0755676218427	-0.835521831472309	1.26573060876895	-0.660110315484065	0.509183039428227	0.632040781358046
GCKDGN101A14KT_Past	3.34746644018435	1.51683731486097	2.85543766224038	0.531210096063123	0.595273197494815	0.703662525538663
GCKDGN101A14VE_Past	17.328190496606	4.86109307378931	1.76419078444231	2.75542368583792	0.00586161767616458	0.0470754687821059
GCKDGN101A15QU_Past	3.29622347332627	3.39940794461862	2.64525564958001	1.28509618537564	0.198758674432476	0.341615060577015
GCKDGN101A177T_Past	8.51464361601869	2.9117255749472	2.05193813129776	1.41901236228095	0.155895411973378	0.294912520474919
GCKDGN101A17ZT_Past	23.8903780290048	-0.554160756545808	1.44425250259045	-0.383700741769082	0.701200262773129	0.787297969916837
GCKDGN101A1Q78_Past	3.80966400544415	0	11.5949512972624	0	1	1
GCKDGN101A1T4S_Past	5.18139572919687	2.72735571381901	2.41568596080017	1.1290191515273	0.258889754744644	0.403167412768248
