baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	0.200952326841374	1.63127333165246	0.123187403939113	0.901958699796168	1
GCKDGN101A00ZL_Past	6.00311397157902	1.62334890083487	2.16241566711118	0.750710848762736	0.452826692552283	1
GCKDGN101A028J_Past	25.1147709864338	-0.799159951525154	1.54968430058777	-0.515692100140684	0.606069473006152	1
GCKDGN101A03QE_Past	3.52727809705851	-0.0513814808282603	2.43343448038581	-0.0211147993678934	0.983154079338686	1
GCKDGN101A03XE_Past	28.9323030991648	0.885970390238614	1.71240859991327	0.517382586307664	0.604889113206554	1
GCKDGN101A0607_Past	10.5796307588068	0	3.05922210146737	0	1	1
GCKDGN101A06FB_Past	10.4644071494278	-0.876958730221158	1.74439207478869	-0.502730288044555	0.615153911966683	1
GCKDGN101A0884_Past	30.3455961757646	-0.108801186157124	1.64324506780233	-0.0662111746378975	0.947209700224189	1
GCKDGN101A08CL_Past	21.7359506924139	0.452884278060576	1.65503112596974	0.273640943033754	0.784360566465254	1
GCKDGN101A097A_Past	6.28101826556344	-3.40480874727175	2.4897936565073	-1.36750639490666	0.171466634202231	1
GCKDGN101A0KSC_Past	27.2720440179517	-1.01964393727816	1.42493230691614	-0.715573597657343	0.474254681189683	1
GCKDGN101A0LCS_Past	15.0782818046625	1.91067533424443	1.44877787596562	1.31881868569463	0.18722973579483	1
GCKDGN101A0M5U_Past	31.9501836469538	-0.867013370608932	1.43539706014666	-0.604023370732237	0.545828104335747	1
GCKDGN101A0M8H_Past	817.014815457995	0.992942072392868	1.54737506683326	0.641694501660122	0.521071559956624	1
GCKDGN101A0P88_Past	3.0476551055852	0.838407853884832	3.25493769120338	0.257580308265398	0.796730828735218	1
GCKDGN101A0RO1_Past	3.55824940848606	-0.541616731966861	2.79799552183689	-0.193573123237627	0.846510144660792	1
GCKDGN101A0S0M_Past	7.75137629198386	2.82238990747136	1.92927194371471	1.46293005331171	0.143486519490085	1
GCKDGN101A0S2C_Past	18.7843166354363	0	2.56551821313837	0	1	1
GCKDGN101A0SI8_Past	21.5372318982891	-2.23599079424065	2.41089344487211	-0.927453180892973	0.353691289773344	1
GCKDGN101A0ZFB_Past	4.37845053254971	1.53113599831037	2.32933710268728	0.657326926422093	0.510970726465028	1
GCKDGN101A10D0_Past	7.0327411960674	1.69236590907077	2.44798922416578	0.691328986404134	0.489358819874925	1
GCKDGN101A12VJ_Past	63.4929056277215	1.0473496267785	1.27876880917671	0.819029694235971	0.412769472041399	1
GCKDGN101A13V9_Past	45.0755676218427	1.49317149351862	1.19999517873194	1.24431457724395	0.213383808075243	1
GCKDGN101A14KT_Past	3.34746644018435	1.83433294717637	2.48517073252754	0.738111439655802	0.46044673270513	1
GCKDGN101A14VE_Past	17.328190496606	0.286899257211405	1.59067433622122	0.18036329038473	0.856867371702353	1
GCKDGN101A15QU_Past	3.29622347332627	-3.06765441689035	2.36070400055531	-1.29946592887916	0.193784078753026	1
GCKDGN101A177T_Past	8.51464361601869	-0.507314956011849	1.87147209652361	-0.27107802299282	0.78633102406403	1
GCKDGN101A17ZT_Past	23.8903780290048	1.18682332971655	1.37736666883315	0.861661136843087	0.38887401742246	1
GCKDGN101A1Q78_Past	3.80966400544415	0	10.9304266711686	0	1	1
GCKDGN101A1T4S_Past	5.18139572919687	-0.481668166464309	2.26082874108899	-0.213049382162534	0.831288445356556	1
GCKDGN101A1TLT_Past	10.8559880904924	-2.09596344343939	1.85439389260481	-1.13026873729359	0.258363003543402	1
GCKDGN101A1V7Z_Past	6.92084926661199	3.3409869126763	2.10263079530851	1.58895556943752	0.112070424017399	1
GCKDGN101A20KS_Past	5.87890122596942	-2.5415187197242	1.76696683062377	-1.43835111993981	0.150334454154492	1
GCKDGN101A23YI_Past	20.830535637997	-2.10743984022128	1.65692718073426	-1.2718964748272	0.203409904531745	1
GCKDGN101A2BO2_Past	14.7913484935943	-1.05346933557835	2.65801018218699	-0.396337584648214	0.691856004023549	1
GCKDGN101A2BOP_Past	3.39190917524887	-1.1817219631954	2.76468338225764	-0.427434826996503	0.669062645247545	1
GCKDGN101A2FEY_Past	5.87316858695411	1.52169594298786	1.99185854372848	0.763957836152091	0.444892369522464	1
GCKDGN101A2K37_Past	10.9015573486738	2.94612686955194	1.64287727139923	1.79327264479271	0.0729293392255032	1
GCKDGN101A2LIL_Past	3.81611693906338	0.797608475900288	2.58340986549648	0.308742521484102	0.757517395455119	1
GCKDGN101A2NZY_Past	6.85262506460422	0.48747271597059	1.95047643113581	0.249924945612762	0.802645391455785	1
GCKDGN101A2QVI_Past	21.4284957317886	-0.642893719903099	1.57438675819945	-0.408345482172594	0.683020052338193	1
GCKDGN101A2R04_Past	11.5389446201177	1.4826030456819	1.69123692531848	0.87663828969599	0.380683134916516	1
GCKDGN101A2TT4_Past	9.57727288803907	0.945598894616107	1.96786475064535	0.480520266601656	0.630857495837125	1
GCKDGN101A2V3C_Past	3.6976468013005	4.73704945679662	2.95363339526973	1.60380413641823	0.108757232546163	1
GCKDGN101A2WY5_Past	27.5715981818955	3.46626812359521	1.54837784205377	2.23864487688453	0.0251790318161923	0.964848826797635
GCKDGN101A33CU_Past	5.70386564278099	-4.71996772385605	2.34680770956319	-2.01122900040864	0.044301273916515	1
GCKDGN101A33VX_Past	6.76205575433391	3.54364691869708	2.09730586997652	1.68961855751481	0.0911009532997557	1
GCKDGN101A35AI_Past	5.20244308265903	-0.914367612777754	1.84655057045783	-0.495176047386045	0.620475856827863	1
GCKDGN101A38VU_Past	43.4703576290158	-0.736038038764049	1.26435304914735	-0.582145975177121	0.560468359568842	1
GCKDGN101A39U8_Past	4.49942962482592	20.7420873613163	2.42400617367371	8.55694493957523	1.15897853104713e-17	8.12865397002601e-15
GCKDGN101A3AVK_Past	30.7145662981956	1.59456471300601	1.3653264469486	1.1678999674911	0.242847117266174	1
GCKDGN101A3EUL_Past	13.3384782879444	-1.13558112680503	1.82123507477292	-0.623522543868546	0.532941192461704	1
GCKDGN101A3FW4_Past	20.0382788756008	-0.143411385881818	1.47813390392971	-0.0970219176358447	0.922708988803576	1
GCKDGN101A3GMY_Past	3.15047249243418	0.201141822192793	3.27268789299274	0.0614607407640258	0.950992279601639	1
GCKDGN101A3LA5_Past	36.264723314004	0.220143255752203	1.46869724510081	0.14989015366274	0.880851280192576	1
GCKDGN101A3N2H_Past	8.70516159965528	0.348128450993775	1.93329597583088	0.180069919632537	0.857097677229542	1
GCKDGN101A3QHI_Past	5.23928853109307	-2.78149759953739	2.50576319325116	-1.11004008959381	0.266981751609486	1
