baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	0.071776615476498	1.63492000701466	0.0439022185602592	0.964982346852374	0.998262609241661
GCKDGN101A00ZL_Past	6.00311397157902	-1.31991204252318	2.15682364556975	-0.611970313490565	0.540557398940605	0.983609994943957
GCKDGN101A028J_Past	25.1147709864338	-1.07180756750129	1.54614926722922	-0.693210927443005	0.488177191535871	0.983609994943957
GCKDGN101A03QE_Past	3.52727809705851	-0.953437860436787	2.48805545846996	-0.383206032321767	0.70156700565338	0.984480875320374
GCKDGN101A03XE_Past	28.9323030991648	0.924027812246981	1.64190410862611	0.562778183812559	0.573585937675582	0.983609994943957
GCKDGN101A0607_Past	10.5796307588068	18.15736753335	2.99971402874372	6.05303284225207	1.421438732197e-09	2.5703610074556e-07
GCKDGN101A06FB_Past	10.4644071494278	-1.71225479111544	1.73554532304425	-0.986580280203833	0.323848441431968	0.983609994943957
GCKDGN101A0884_Past	30.3455961757646	-2.37779599869576	1.6505027929998	-1.44064948498154	0.14968373273689	0.983609994943957
GCKDGN101A08CL_Past	21.7359506924139	-0.627745964683496	1.65441933359916	-0.379435824965758	0.704364251529481	0.984480875320374
GCKDGN101A097A_Past	6.28101826556344	1.25929784754678	2.47914239016277	0.50795704697869	0.611483466380162	0.983609994943957
GCKDGN101A0KSC_Past	27.2720440179517	-0.235271418448581	1.41589293029017	-0.166164696083599	0.868027341612246	0.988676915974088
GCKDGN101A0LCS_Past	15.0782818046625	-1.25818621232325	1.44164001697667	-0.872746453696431	0.382801291453037	0.983609994943957
GCKDGN101A0M5U_Past	31.9501836469538	-1.62744340209731	1.4356337298989	-1.13360627310695	0.256959740493834	0.983609994943957
GCKDGN101A0M8H_Past	817.014815457995	-1.71739375417437	1.55518914769748	-1.10429895727927	0.269463475011245	0.983609994943957
GCKDGN101A0P88_Past	3.0476551055852	1.47747230257735	3.29852450840729	0.447919152582183	0.654211545384181	0.983609994943957
GCKDGN101A0RO1_Past	3.55824940848606	-0.884196947544379	2.8411422259334	-0.311211786398301	0.755639623393482	0.98451971219778
GCKDGN101A0S0M_Past	7.75137629198386	-3.77367105937107	1.90305712256753	-1.98295206939442	0.0473727836568252	0.983609994943957
GCKDGN101A0S2C_Past	18.7843166354363	9.76060235679769	2.39867324556447	4.06916714264712	4.71814921801671e-05	0.00423280162016337
GCKDGN101A0SI8_Past	21.5372318982891	-0.608452363451567	2.38796866342512	-0.254799140696783	0.798878238997625	0.987372271650395
GCKDGN101A0ZFB_Past	4.37845053254971	-0.0367625129588273	2.20413785030413	-0.0166788628731886	0.986692809800197	0.999039980176787
GCKDGN101A10D0_Past	7.0327411960674	-2.56960422116644	2.40505013548069	-1.06842023093746	0.285330995193139	0.983609994943957
GCKDGN101A12VJ_Past	63.4929056277215	-0.545628423539891	1.27777830162822	-0.42701337379467	0.66936958674547	0.983609994943957
GCKDGN101A13V9_Past	45.0755676218427	-0.468109601497888	1.21705961830792	-0.384623394331907	0.700516458920147	0.984480875320374
GCKDGN101A14KT_Past	3.34746644018435	-0.380929194307043	2.46160595474245	-0.154748242127526	0.877019796335104	0.990347000876632
GCKDGN101A14VE_Past	17.328190496606	0.109297989858038	1.56531124632517	0.0698250843815465	0.944332881452441	0.996465847852874
GCKDGN101A15QU_Past	3.29622347332627	-2.2338765306342	2.33173732180273	-0.958030953892838	0.338047150137847	0.983609994943957
GCKDGN101A177T_Past	8.51464361601869	-2.36616572659583	1.95511682935627	-1.21024262645977	0.226185805853472	0.983609994943957
GCKDGN101A17ZT_Past	23.8903780290048	-4.48709220597899	1.50641475271034	-2.97865657376617	0.002895150696018	0.180137521532346
GCKDGN101A1Q78_Past	3.80966400544415	-4.35082843294265	10.8950523479407	-0.399339837386371	0.689642817305379	0.984480875320374
GCKDGN101A1T4S_Past	5.18139572919687	0.11072700844093	2.24491744989566	0.0493234209774958	0.960661554989633	0.997655149566804
GCKDGN101A1TLT_Past	10.8559880904924	-2.07467570843826	1.85546086365224	-1.11814576587432	0.26350474284589	0.983609994943957
GCKDGN101A1V7Z_Past	6.92084926661199	-1.96685682676622	2.01526888442817	-0.975977370545428	0.329075678569755	0.983609994943957
GCKDGN101A20KS_Past	5.87890122596942	-1.42816021626671	1.7655051742678	-0.808924401401998	0.418558632160688	0.983609994943957
GCKDGN101A23YI_Past	20.830535637997	-2.04122326555716	1.6568615214082	-1.23198181572971	0.217955876931091	0.983609994943957
GCKDGN101A2BO2_Past	14.7913484935943	0.598106754676947	2.42030253707488	0.247120657651255	0.804814846944151	0.987372271650395
GCKDGN101A2BOP_Past	3.39190917524887	-2.26257869967886	2.87110529945969	-0.788051451858856	0.430666610765897	0.983609994943957
GCKDGN101A2FEY_Past	5.87316858695411	-0.824119332461847	1.98757260202347	-0.414636090084378	0.678408324183768	0.984358919474187
GCKDGN101A2K37_Past	10.9015573486738	-1.01506774092398	1.62351342062213	-0.625229042168935	0.531820743457851	0.983609994943957
GCKDGN101A2LIL_Past	3.81611693906338	0.936263475198634	2.31111715513314	0.405112944239599	0.685394492109817	0.984480875320374
