baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	1.58430971281269	1.68035963666467	0.942839662560194	0.345762921054391	0.590106810995792
GCKDGN101A00ZL_Past	6.00311397157902	4.57773040137987	2.32403367196489	1.96973497269063	0.0488687526286839	0.179277656976642
GCKDGN101A028J_Past	25.1147709864338	-0.197400642875283	1.56447557439106	-0.126176877483125	0.899591914161398	0.96011225366255
GCKDGN101A03QE_Past	3.52727809705851	1.73472364141102	2.59381112255315	0.668793354430332	0.503627306532788	0.724611392016653
GCKDGN101A03XE_Past	28.9323030991648	-1.02984545049452	1.63977377682775	-0.628041175586322	0.5299769666406	0.744257181765764
GCKDGN101A0607_Past	10.5796307588068	-8.2784601436032	2.85822790849803	-2.89636110507138	0.0037751771709507	0.0279313864713163
GCKDGN101A06FB_Past	10.4644071494278	-2.30703298372235	1.74160837450467	-1.32465657463234	0.1852850823673	0.410289329349812
GCKDGN101A0884_Past	30.3455961757646	0.73662659194065	1.70010722786007	0.433282430584006	0.664809600464654	0.832216496071113
GCKDGN101A08CL_Past	21.7359506924139	2.01588218789555	1.69985074595983	1.18591717107332	0.235655011364912	0.472611246863522
GCKDGN101A097A_Past	6.28101826556344	1.65538911338622	2.50974464202557	0.659584678722605	0.50952038899665	0.728370708143109
GCKDGN101A0KSC_Past	27.2720440179517	1.42382962423287	1.45677244580028	0.977386432821139	0.328377877135292	0.573575095968144
GCKDGN101A0LCS_Past	15.0782818046625	1.33683739141149	1.49754813285453	0.892684089467826	0.372026373138135	0.614418807800296
GCKDGN101A0M5U_Past	31.9501836469538	1.09136048943166	1.4755554618625	0.739626884681182	0.459526423960774	0.690034942843912
GCKDGN101A0M8H_Past	817.014815457995	-2.18834105719472	1.56042244045999	-1.40240296502633	0.160794948462768	0.378112351632553
GCKDGN101A0P88_Past	3.0476551055852	0.115577215675465	3.27786991034663	0.0352598543678149	0.971872534984001	0.995132125403215
GCKDGN101A0RO1_Past	3.55824940848606	1.44428412576889	2.91806213288417	0.494946323963767	0.62063801008673	0.806313840450576
GCKDGN101A0S0M_Past	7.75137629198386	21.4958620340879	2.10364876349615	10.2183702940803	1.64076078960137e-24	1.40655737911531e-22
