Contrast	NumDEGsUp	NumDEGsDown	TotalNumDEGs
resInT0vIn_30_T1	11	3	14
resInT0vIn_30_T2	22	6	28
resInT0vIn_30_T3	51	4	55
resInT0vIn_30_T4	41	6	47
resInT0vIn_30_T5	8	5	13
resInT0vIn_TF_TF	36	2	38
resIn_30_T1vIn_30_T2	21	14	35
resIn_30_T1vIn_30_T3	38	9	47
resIn_30_T1vIn_30_T4	29	15	44
resIn_30_T1vIn_30_T5	9	19	28
resIn_30_T1vIn_34_T1	10	17	27
resIn_30_T1vIn_37_T1	1318	136	1454
resIn_30_T1vIn_39_T1	1736	187	1923
resIn_30_T2vIn_30_T3	172	7	179
resIn_30_T2vIn_30_T4	29	16	45
resIn_30_T2vIn_30_T5	5	21	26
resIn_30_T2vIn_34_T2	212	26	238
resIn_30_T2vIn_37_T2	4645	350	4995
resIn_30_T2vIn_39_T2	3532	1706	5238
resIn_30_T3vIn_30_T4	11	25	36
resIn_30_T3vIn_30_T5	2	70	72
resIn_30_T3vIn_34_T3	15	37	52
resIn_30_T3vIn_37_T3	1108	452	1560
resIn_30_T3vIn_39_T3	680	2314	2994
resIn_30_T4vIn_30_T5	1	26	27
resIn_30_T4vIn_34_T4	5	12	17
resIn_30_T4vIn_37_T4	528	462	990
resIn_30_T4vIn_39_T4	833	2702	3535
resIn_30_T5vIn_34_T5	7	0	7
resIn_30_T5vIn_37_T5	3623	206	3829
resIn_30_T5vIn_39_T5	2607	819	3426
resInvOffT0	5	50	55
resOffT0vOff_30_T1	3	12	15
resOffT0vOff_30_T2	358	149	507
resOffT0vOff_30_T3	40	32	72
resOffT0vOff_30_T4	124	150	274
resOffT0vOff_30_T5	30	24	54
resOffT0vOff_TF_TF	68	17	85
resOff_30_T1vIn_30_T1	12	10	22
resOff_30_T1vOff_30_T2	389	13	402
resOff_30_T1vOff_30_T3	39	6	45
resOff_30_T1vOff_30_T4	105	19	124
resOff_30_T1vOff_30_T5	32	9	41
resOff_30_T1vOff_34_T1	15	9	24
resOff_30_T1vOff_37_T1	2111	148	2259
resOff_30_T1vOff_39_T1	2988	314	3302
resOff_30_T2vIn_30_T2	58	1511	1569
resOff_30_T2vOff_30_T3	24	494	518
resOff_30_T2vOff_30_T4	103	494	597
resOff_30_T2vOff_30_T5	34	566	600
resOff_30_T2vOff_34_T2	673	612	1285
resOff_30_T2vOff_37_T2	3590	1049	4639
resOff_30_T2vOff_39_T2	2812	2404	5216
resOff_30_T3vIn_30_T3	27	28	55
resOff_30_T3vOff_30_T4	90	42	132
resOff_30_T3vOff_30_T5	34	38	72
resOff_30_T3vOff_34_T3	2057	108	2165
resOff_30_T3vOff_37_T3	3722	356	4078
resOff_30_T3vOff_39_T3	2021	724	2745
resOff_30_T4vIn_30_T4	26	85	111
resOff_30_T4vOff_30_T5	27	101	128
resOff_30_T4vOff_34_T4	48	124	172
resOff_30_T4vOff_37_T4	1722	594	2316
resOff_30_T4vOff_39_T4	1492	1934	3426
resOff_30_T5vIn_30_T5	6	32	38
resOff_30_T5vOff_34_T5	18	26	44
resOff_30_T5vOff_37_T5	479	642	1121
resOff_30_T5vOff_39_T5	2215	952	3167
resOff_34_T1vIn_34_T1	12	17	29
resOff_34_T2vIn_34_T2	28	290	318
resOff_34_T3vIn_34_T3	68	2594	2662
resOff_34_T4vIn_34_T4	27	39	66
resOff_34_T5vIn_34_T5	11	21	32
