baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	-0.780143367171005	1.62497368257679	-0.480096001268095	0.631159131458159	1
GCKDGN101A00ZL_Past	6.00311397157902	-2.73610864804309	2.16617496882922	-1.2631060220966	0.206551080080349	1
GCKDGN101A028J_Past	25.1147709864338	-0.84399753793737	1.53417312507725	-0.550131875041726	0.582228925386775	1
GCKDGN101A03QE_Past	3.52727809705851	1.06868680677613	2.57407303173283	0.41517345996073	0.678014925999125	1
GCKDGN101A03XE_Past	28.9323030991648	0.315056744016859	1.65644128673459	0.19020097273592	0.849151648902235	1
GCKDGN101A0607_Past	10.5796307588068	0.92113500985699	2.86683639994094	0.3213071418641	0.74797764470765	1
GCKDGN101A06FB_Past	10.4644071494278	0.788149877278281	1.72075667684088	0.458025174555905	0.646934354969	1
GCKDGN101A0884_Past	30.3455961757646	0.479725348486948	1.63536137314356	0.29334516295001	0.769258336141892	1
GCKDGN101A08CL_Past	21.7359506924139	-0.857429122500363	1.6498779551809	-0.519692453498084	0.603277947538251	1
GCKDGN101A097A_Past	6.28101826556344	0.0937993370383535	2.45867797288165	0.0381503141415537	0.969567835600047	1
GCKDGN101A0KSC_Past	27.2720440179517	0.346594767831034	1.40800573540756	0.246160053979261	0.805558336553525	1
GCKDGN101A0LCS_Past	15.0782818046625	-0.20093067054754	1.43107425904938	-0.140405481600244	0.888339627066047	1
GCKDGN101A0M5U_Past	31.9501836469538	-0.454541373406585	1.42684245826407	-0.318564513393855	0.750056766637347	1
GCKDGN101A0M8H_Past	817.014815457995	1.00503957258661	1.54150036539518	0.651987891244483	0.514408983838289	1
GCKDGN101A0P88_Past	3.0476551055852	0.371772369894435	3.26628902561196	0.113821026547025	0.90937967013896	1
GCKDGN101A0RO1_Past	3.55824940848606	-1.30155796241241	2.75141169661058	-0.473050966533208	0.636176818013938	1
GCKDGN101A0S0M_Past	7.75137629198386	1.38257426338829	1.77650600220521	0.778254766193905	0.436418836338354	1
GCKDGN101A0S2C_Past	18.7843166354363	-2.15761306974496	2.25178570027395	-0.958178688799054	0.337972661565938	1
GCKDGN101A0SI8_Past	21.5372318982891	-1.86697423642623	2.38911989575698	-0.781448532466678	0.434538736175582	1
GCKDGN101A0ZFB_Past	4.37845053254971	-0.290360606068314	2.17102284140018	-0.133743690085291	0.893605255802222	1
GCKDGN101A10D0_Past	7.0327411960674	0.0506831978766484	2.35313560342926	0.0215385793333741	0.982816028735708	1
GCKDGN101A12VJ_Past	63.4929056277215	0.191599890204082	1.27418603161278	0.15037042115551	0.880472376405973	1
GCKDGN101A13V9_Past	45.0755676218427	-0.747469741147836	1.18671512476988	-0.629864510484589	0.528783234191601	1
GCKDGN101A14KT_Past	3.34746644018435	-2.46539524336563	2.49462307987933	-0.98828366627831	0.323013742540341	1
GCKDGN101A14VE_Past	17.328190496606	-1.75508718651071	1.56909901929215	-1.1185318229964	0.263339922978872	1
GCKDGN101A15QU_Past	3.29622347332627	1.10111253226187	2.32396767869579	0.473807162791442	0.635637426308844	1
GCKDGN101A177T_Past	8.51464361601869	-0.461846137059755	1.87433925940123	-0.246404771571234	0.805368912912903	1
GCKDGN101A17ZT_Past	23.8903780290048	0.860599542707278	1.37061278558798	0.627893998769383	0.530073382596138	1
GCKDGN101A1Q78_Past	3.80966400544415	0.221878514597333	10.8606626484456	0.0204295558917015	0.983700706575036	1
GCKDGN101A1T4S_Past	5.18139572919687	0.74576816805555	2.24063347892648	0.332838090240827	0.739256504076486	1
GCKDGN101A1TLT_Past	10.8559880904924	0.34291854292808	1.84818811608841	0.185543094852189	0.852803082216632	1
GCKDGN101A1V7Z_Past	6.92084926661199	-0.540344756566645	2.00511881854312	-0.269482661860033	0.787558282715553	1
GCKDGN101A20KS_Past	5.87890122596942	-1.78843245974753	1.7571848278135	-1.0177827804107	0.30878119706851	1
