Sample	Reads passing filters
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R1	21505695.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R2	21505695.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R1	21156594.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R2	21156594.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R1	13878646.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R2	13878646.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R1	12461327.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R2	12461327.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R1	16973202.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R2	16973202.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R1	17317368.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R2	17317368.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R1	17970984.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R2	17970984.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R1	17776499.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R2	17776499.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R1	21502800.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R2	21502800.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R1	16755464.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R2	16755464.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R1	14820970.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R2	14820970.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R1	19824111.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R2	19824111.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R1	16609242.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R2	16609242.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R1	13531043.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R2	13531043.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R1	17781975.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R2	17781975.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R1	20812555.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R2	20812555.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R1	16417385.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R2	16417385.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R1	14762116.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R2	14762116.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R1	18855330.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R2	18855330.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R1	17644920.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R2	17644920.0
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R1	21094128.0
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R2	21094128.0
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R1	23786393.0
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R2	23786393.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R1	14868836.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R2	14868836.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R1	18893374.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R2	18893374.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R1	16184667.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R2	16184667.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R1	18815191.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R2	18815191.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R1	11254012.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R2	11254012.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R1	18639142.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R2	18639142.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R1	19958286.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R2	19958286.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R1	15285666.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R2	15285666.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R1	15363724.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R2	15363724.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R1	16706521.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R2	16706521.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R1	18033390.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R2	18033390.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R1	16748574.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R2	16748574.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R1	17190910.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R2	17190910.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R1	19467327.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R2	19467327.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R1	19771709.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R2	19771709.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R1	25940705.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R2	25940705.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R1	17088385.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R2	17088385.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R1	14210908.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R2	14210908.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R1	19815939.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R2	19815939.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R1	23323757.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R2	23323757.0
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R1	21065409.0
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R2	21065409.0
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R1	17548426.0
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R2	17548426.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R1	26912788.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R2	26912788.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R1	13434515.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R2	13434515.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R1	18113631.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R2	18113631.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R1	17298607.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R2	17298607.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R1	17840002.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R2	17840002.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R1	24005580.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R2	24005580.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R1	19536417.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R2	19536417.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R1	15770977.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R2	15770977.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R1	16083663.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R2	16083663.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R1	19977433.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R2	19977433.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R1	16021283.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R2	16021283.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R1	21763503.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R2	21763503.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R1	16518211.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R2	16518211.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R1	23308412.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R2	23308412.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R1	15394642.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R2	15394642.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R1	28190671.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R2	28190671.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R1	11898569.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R2	11898569.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R1	5448716.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R2	5448716.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R1	17593993.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R2	17593993.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R1	25168994.0
