Sample	Unique Reads	Duplicate Reads
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R1_val_1	7110270.0	14391881.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R2_val_2	7478639.0	14023512.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R1_val_1	5268274.0	15885205.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R2_val_2	5488656.0	15664823.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R1_val_1	1788004.0	12087140.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R2_val_2	1887401.0	11987743.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R1_val_1	687286.0	11770661.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R2_val_2	866965.0	11590982.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R1_val_1	3843783.0	13126048.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R2_val_2	3996446.0	12973385.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R1_val_1	3969806.0	13344139.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R2_val_2	4172887.0	13141058.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R1_val_1	2607107.0	15361215.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R2_val_2	2753767.0	15214555.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R1_val_1	4030591.0	13737037.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R2_val_2	4198574.0	13569054.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R1_val_1	3644366.0	17854226.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R2_val_2	3885295.0	17613297.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R1_val_1	3181171.0	13571730.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R2_val_2	3301930.0	13450971.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R1_val_1	611595.0	14203282.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R2_val_2	793328.0	14021549.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R1_val_1	811165.0	19006207.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R2_val_2	916051.0	18901321.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R1_val_1	858415.0	15749213.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R2_val_2	1083105.0	15524523.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R1_val_1	2003172.0	11524146.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R2_val_2	2216646.0	11310672.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R1_val_1	1032169.0	16745896.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R2_val_2	1248733.0	16529332.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R1_val_1	438357.0	20322348.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R2_val_2	658302.0	20102403.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R1_val_1	2369884.0	14045708.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R2_val_2	2491932.0	13923660.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R1_val_1	1240332.0	13515888.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R2_val_2	1476531.0	13279689.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R1_val_1	818246.0	18009416.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R2_val_2	999067.0	17828595.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R1_val_1	4785394.0	12855258.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R2_val_2	4876508.0	12764144.0
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R1_val_1	2568390.0	18514458.0
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R2_val_2	2738976.0	18343872.0
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R1_val_1	4248895.0	19534535.0
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R2_val_2	4487900.0	19295530.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R1_val_1	6716742.0	8148897.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R2_val_2	6846878.0	8018761.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R1_val_1	813442.0	18075943.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R2_val_2	950602.0	17938783.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R1_val_1	2300263.0	13881619.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R2_val_2	2448924.0	13732958.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R1_val_1	863123.0	17950392.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R2_val_2	1077106.0	17736409.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R1_val_1	1093772.0	10158159.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R2_val_2	1250976.0	10000955.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R1_val_1	2414300.0	16222211.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R2_val_2	2672850.0	15963661.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R1_val_1	1321662.0	18615713.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R2_val_2	1429202.0	18508173.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R1_val_1	542969.0	14739276.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R2_val_2	678051.0	14604194.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R1_val_1	1591697.0	13768074.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R2_val_2	1787824.0	13571947.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R1_val_1	2099384.0	14604342.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R2_val_2	2345713.0	14358013.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R1_val_1	657663.0	17369869.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R2_val_2	824680.0	17202852.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R1_val_1	2586567.0	14160595.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R2_val_2	2701462.0	14045700.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R1_val_1	1588360.0	15600332.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R2_val_2	1708212.0	15480480.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R1_val_1	1977132.0	17486411.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R2_val_2	2221056.0	17242487.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R1_val_1	1685277.0	18081714.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R2_val_2	2024305.0	17742686.0
