Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_2kenkel	10350987.0	199828.0	9976.0	976101.0	9963109.0	2150.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_2kenkel	10805879.0	269187.0	2684.0	922322.0	9153407.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_2kenkel	4788844.0	122576.0	11033.0	790923.0	8160381.0	1388.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_2kenkel	9115479.0	99823.0	1283.0	303956.0	2937406.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_2kenkel	8815974.0	147135.0	8163.0	685639.0	7311223.0	1697.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_2kenkel	10481505.0	160010.0	2723.0	618143.0	6051564.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_2kenkel	12293437.0	224096.0	2067.0	575063.0	4873659.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_2kenkel	10655037.0	158875.0	7282.0	664442.0	6280216.0	1777.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_2kenkel	14005291.0	191088.0	3205.0	733126.0	6565882.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_2kenkel	10468860.0	137302.0	3501.0	554668.0	5588570.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_2kenkel	8565282.0	274945.0	441.0	745110.0	5229099.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_2kenkel	10459620.0	1668523.0	3938.0	1353896.0	6331395.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_2kenkel	11592724.0	134650.0	2847.0	521452.0	4355955.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_2kenkel	6595820.0	105912.0	5773.0	957831.0	5861982.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_2kenkel	11749689.0	134552.0	911.0	665042.0	5227871.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_2kenkel	2988170.0	2288727.0	959.0	1951445.0	13531404.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_2kenkel	7432107.0	507714.0	15538.0	1510170.0	6948422.0	1641.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_2kenkel	3388031.0	72060.0	4961.0	1093551.0	10197617.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_2kenkel	1652923.0	159299.0	3389.0	1216357.0	15795694.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_2kenkel	1404811.0	29083.0	2577.0	485102.0	15719079.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_2kenkel	14100870.0	318669.0	840.0	638838.0	6023631.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_2kenkel	13181693.0	236559.0	1806.0	951423.0	9411949.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_2kenkel	6200636.0	129462.0	5024.0	670372.0	7858659.0	1486.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_2kenkel	13613139.0	518563.0	601.0	536328.0	4220754.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_2kenkel	10862286.0	134186.0	2321.0	477368.0	4705721.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_2kenkel	12973197.0	149451.0	1847.0	445866.0	5243154.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_2kenkel	8134939.0	97241.0	1212.0	280245.0	2738294.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_2kenkel	13696863.0	158614.0	956.0	447259.0	4332819.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_2kenkel	14732932.0	395801.0	1088.0	538382.0	4269172.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_2kenkel	7623240.0	106191.0	7980.0	562386.0	6982448.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_2kenkel	10117785.0	120032.0	8018.0	436275.0	4677661.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_2kenkel	12233208.0	140864.0	1597.0	446002.0	3882055.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_2kenkel	12521491.0	194723.0	700.0	625521.0	4685097.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_2kenkel	9923954.0	293951.0	3141.0	732010.0	5794106.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_2kenkel	11381446.0	126067.0	1917.0	654903.0	5024359.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_2kenkel	12784594.0	149977.0	2183.0	759155.0	5767634.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_2kenkel	12575788.0	160058.0	2173.0	770894.0	6258078.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_2kenkel	4309599.0	3206234.0	1488.0	3497425.0	14891258.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_2kenkel	5335595.0	1177914.0	5375.0	773803.0	9789554.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_2kenkel	1521187.0	59942.0	154.0	768201.0	11719988.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_2kenkel	275120.0	11472.0	240.0	645856.0	18878420.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_2kenkel	5489096.0	204993.0	609.0	1958914.0	15664312.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_2kenkel	12058093.0	230437.0	2769.0	690987.0	8081171.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_2kenkel	12470879.0	286861.0	2675.0	445745.0	4339873.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_2kenkel	9222901.0	613061.0	583.0	444522.0	3150601.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_2kenkel	13447773.0	138650.0	1201.0	445617.0	4077581.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_2kenkel	12954669.0	134177.0	369.0	370228.0	3837225.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_2kenkel	12273250.0	133831.0	1774.0	519244.0	4908727.0	0.0
