Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R1	21505695	7543317	21505695	3225854250	2817818	3206625438	0.5960843395202992
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R2	21505695	7520529	21505695	3225854250	3952742	3205476412	0.6317036177316443
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R1	21156594	7692494	21156594	3173489100	3292680	3122299109	1.6130507900594333
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R2	21156594	7728849	21156594	3173489100	4095076	3121541182	1.636933871932946
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R1	13878646	4875284	13878646	2081796900	1960980	2067975339	0.6639245643991496
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R2	13878646	4867981	13878646	2081796900	2404734	2067703215	0.6769961565414955
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R1	12461327	4357563	12461327	1869199050	1059950	1851124682	0.9669579063824155
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R2	12461327	4339686	12461327	1869199050	1402493	1850911876	0.9783427827014999
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R1	16973202	6004816	16973202	2545980300	2116151	2528738374	0.6772215008890682
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R2	16973202	5987056	16973202	2545980300	2623395	2528296097	0.6945930807084406
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R1	17317368	6081046	17317368	2597605200	2763965	2576101429	0.8278306110566763
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R2	17317368	6054575	17317368	2597605200	2679808	2576317793	0.8195012467637499
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R1	17970984	6397483	17970984	2695647600	1802915	2649477137	1.7127781465203389
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R2	17970984	6395926	17970984	2695647600	2522601	2648906251	1.733956211486991
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R1	17776499	6298724	17776499	2666474850	2090871	2647751531	0.7021749708233701
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R2	17776499	6288392	17776499	2666474850	2862275	2647885817	0.6971388835713189
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R1	21502800	7715088	21502800	3225420000	2179245	3197436565	0.8675904223325955
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R2	21502800	7702888	21502800	3225420000	2948652	3196781254	0.8879074973181788
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R1	16755464	5799998	16755464	2513319600	1685515	2498034849	0.6081499145592149
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R2	16755464	5778596	16755464	2513319600	2128816	2497700345	0.621459165002334
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R1	14820970	5315180	14820970	2223145500	1988293	2148111986	3.375105857893691
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R2	14820970	5303890	14820970	2223145500	1793752	2148644659	3.3511455278118323
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R1	19824111	9693653	19824111	2973616650	1921923	2422399463	18.5369283226202
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R2	19824111	9695991	19824111	2973616650	3603780	2422105873	18.546801484986304
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R1	16609242	5471099	16609242	2491386300	798105	2478795460	0.5053748589690807
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R2	16609242	5494906	16609242	2491386300	1419609	2478111021	0.532847073936306
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R1	13531043	4910573	13531043	2029656450	2583107	2014361164	0.7535898994137653
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R2	13531043	4890859	13531043	2029656450	2275765	2014800161	0.7319607709964906
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R1	17781975	6158102	17781975	2667296250	1716839	2621287237	1.7249307421325997
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R2	17781975	6134920	17781975	2667296250	2192630	2620976674	1.7365741057072306
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R1	20812555	11710033	20812555	3121883250	4099365	2308526643	26.05339603907353
