Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21502151.0	0.0	20-150	46.0	33.06771341505097	148.54585971422114	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21502151.0	0.0	20-150	46.0	34.78088766716562	148.47915215552155	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21153479.0	0.0	20-150	46.0	24.904998152336617	147.0203734336087	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21153479.0	0.0	20-150	46.0	25.9468217895578	146.98067958466785	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13875144.0	0.0	20-150	46.0	12.88637600856138	148.45987479481295	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13875144.0	0.0	20-150	46.0	13.602742683831263	148.42312677980135	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12457947.0	0.0	20-150	49.0	5.516843689643191	148.05084979090054	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12457947.0	0.0	20-150	49.0	6.959128150390392	148.00795363794694	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16969831.0	0.0	20-150	47.0	22.650681735461873	148.43623103848236	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16969831.0	0.0	20-150	47.0	23.55029463852286	148.39831805042726	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17313945.0	0.0	20-150	48.0	22.928368144798906	148.21083970175485	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17313945.0	0.0	20-150	48.0	24.10130598411948	148.21569272629662	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
