Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_2kenkel	21502151.0	298.0	10350987.0	48.14	266.57	14733.0	0.0	14360.0	343.0	30.0	0.0	0.44	0.05	1.31	0.06	1.22	199828.0	0.93	9976.0	0.05	4.54	46.34	0.01	976101	9963109	2150
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_2kenkel	21153479.0	295.0	10805879.0	51.08	268.16	14520.0	0.0	14178.0	301.0	41.0	0.0	0.42	0.05	1.36	0.06	1.22	269187.0	1.27	2684.0	0.01	4.36	43.27	0.0	922322	9153407	0
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_2kenkel	13875144.0	298.0	4788844.0	34.51	268.59	14173.0	0.0	13851.0	305.0	17.0	0.0	0.58	0.06	1.57	0.06	1.38	122576.0	0.88	11033.0	0.08	5.7	58.81	0.01	790923	8160381	1388
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_2kenkel	12457947.0	297.0	9115479.0	73.17	274.49	2836.0	0.0	2719.0	105.0	12.0	0.0	0.29	0.03	1.13	0.05	1.1	99823.0	0.8	1283.0	0.01	2.44	23.58	0.0	303956	2937406	0
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_2kenkel	16969831.0	297.0	8815974.0	51.95	271.39	10333.0	0.0	10111.0	199.0	23.0	0.0	0.4	0.05	1.31	0.06	1.2	147135.0	0.87	8163.0	0.05	4.04	43.08	0.01	685639	7311223	1697
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_2kenkel	17313945.0	297.0	10481505.0	60.54	273.34	6780.0	0.0	6526.0	223.0	31.0	0.0	0.36	0.04	1.21	0.06	1.14	160010.0	0.92	2723.0	0.02	3.57	34.95	0.0	618143	6051564	0
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_2kenkel	17968322.0	294.0	12293437.0	68.42	269.44	10171.0	0.0	9993.0	163.0	15.0	0.0	0.31	0.03	1.17	0.05	1.12	224096.0	1.25	2067.0	0.01	3.2	27.12	0.0	575063	4873659	0
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_2kenkel	17767628.0	297.0	10655037.0	59.97	271.19	11890.0	0.0	11682.0	157.0	51.0	0.0	0.38	0.04	1.26	0.05	1.15	158875.0	0.89	7282.0	0.04	3.74	35.35	0.01	664442	6280216	1777
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_2kenkel	21498592.0	297.0	14005291.0	65.15	271.15	8599.0	0.0	8357.0	193.0	49.0	0.0	0.34	0.04	1.2	0.05	1.14	191088.0	0.89	3205.0	0.01	3.41	30.54	0.0	733126	6565882	0
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_2kenkel	16752901.0	298.0	10468860.0	62.49	273.66	7290.0	0.0	7062.0	215.0	13.0	0.0	0.33	0.04	1.23	0.06	1.14	137302.0	0.82	3501.0	0.02	3.31	33.35	0.0	554668	5588570	0
