RNASeq_R1	RNASeq_R2	fastq
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R2	R1
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R2	R2
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R2	R3
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R2	R4
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R2	R5
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R2	R6
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R2	R7
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R2	R8
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R2	R9
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R2	R10
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R2	R11
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R2	R12
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R2	R13
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R2	R14
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R2	R15
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R2	R16
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R2	R17
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R2	R18
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R2	R19
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R2	R20
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R2	R21
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R2	R22
